LicenceNumber,House,Street,Unit,City,PostalCode,LicenceType,IssueDate,OBJECTID,lon,lat
14-011647,3649,COLONIAL DR,,MISSISSAUGA,L5L4N2,Second Unit,2015-07-24,30,-79.7061564,43.5273673
15-003537,5568,COSMIC CR,,MISSISSAUGA,L4Z3S1,Second Unit,2016-02-22,31,-79.6617884,43.6212725
14-003245,2417,CULVER WAY,,MISSISSAUGA,L5B2P8,Second Unit,2014-07-10,32,-79.625822,43.5622832
15-002484,551,DARALEA  HTS,,MISSISSAUGA,L5A 3H7,Second Unit,2015-08-12,33,-79.6245936,43.6018406
15-009311,7626,DARCEL AVE,,MISSISSAUGA,L4T2Y1,Second Unit,2016-02-05,34,-79.6373153,43.7295989
15-002363,3711,DARLA DR,,MISSISSAUGA,L4T2E1,Second Unit,2015-02-25,35,-79.6384557,43.7272588
14-011585,3373,DELFI RD,,MISSISSAUGA,L5L 1S1,Second Unit,2014-11-27,36,-79.6907265,43.5307271
14-012226,7315,DELLAPORT DR,,MISSISSAUGA,L4T 2Y3,Second Unit,2015-01-05,37,-79.6349465,43.7219012
14-011394,6085,DOUGUY BLVD,,MISSISSAUGA,L5V 1B2,Second Unit,2014-11-10,38,-79.7068576,43.605619
14-005556,6134,DUFORD DR,,MISSISSAUGA,L5V1A6,Second Unit,2014-09-30,39,-79.7061564,43.609417
14-010861,6528,EASTRIDGE RD,,MISSISSAUGA,L5N 4K9,Second Unit,2015-01-16,40,-79.7466471,43.5879763
14-011678,3152,ECLIPSE AVE,Unit 1A,MISSISSAUGA,L5M 7X1,Second Unit,2014-10-17,41,-79.7215835,43.5466139
15-001803,4185,ELORA DR,,MISSISSAUGA,L5B 2Y7,Second Unit,2015-02-23,42,-79.6539823,43.5848415
15-003532,3428,ERIN CENTRE BLVD,,MISSISSAUGA,L5M 8C2,Second Unit,2015-03-23,43,-79.735606,43.5431238
15-009290,3245,ESCADA RD,,MISSISSAUGA,,Second Unit,2016-02-09,44,NA,NA
15-003807,1126,EWING CRES,,MISSISSAUGA,L5V1C1,Second Unit,2016-01-07,45,-79.7087862,43.6077247
15-009282,455,FENDALTON ST,,MISSISSAUGA,L5B2L8,Second Unit,2015-11-03,46,-79.6268749,43.568919
15-003413,1037,FOXGLOVE PL,,MISSISSAUGA,L5V 2N5,Second Unit,2015-03-17,47,-79.6861672,43.5957193
15-002561,5467,FRESHWATER DR,,MISSISSAUGA,L5M 0J8,Second Unit,2016-01-26,48,-79.7380596,43.5481046
14-012468,3263,GALBRAITH DR,,MISSISSAUGA,L5L4A8,Second Unit,2015-02-17,49,-79.7114159,43.5343894
14-013324,499,GALEDOWNS CRT,,MISSISSAUGA,L5A 3J1,Second Unit,2014-12-03,50,-79.6212594,43.6034663
15-007910,1222,GALESWAY BLVD,,MISSISSAUGA,L5V 2V6,Second Unit,2015-07-24,51,-79.7043154,43.6016007
14-011132,4457,GLADEBROOK CR,,MISSISSAUGA,L5V1E4,Second Unit,2014-10-16,52,-79.667226,43.5847852
15-002418,332,GLENN HAWTHORNE BL,,MISSISSAUGA,L5R2L9,Second Unit,2015-12-14,53,-79.660122,43.6082765
14-013713,295,GLENN HAWTHORNE BLVD,,MISSISSAUGA,L5R 2M2,Second Unit,2015-01-05,54,-79.6612622,43.6077121
15-002950,4249,GOLDENROD CRES,,MISSISSAUGA,L5V 3C2,Second Unit,2015-04-24,55,-79.6631917,43.5863493
14-006860,7092,GOREWAY DR,,MISSISSAUGA,L4T2T6,Second Unit,2014-10-06,56,-79.6356484,43.7160386
14-012752,5975,GROSSBEAK DR,,MISSISSAUGA,L5N6B3,Second Unit,2015-11-16,57,-79.7541823,43.5623486
14-007017,4400,GUILDWOOD WAY,,MISSISSAUGA,L5R 2A9,Second Unit,2014-06-24,58,-79.6612622,43.5895906
15-012941,4405,GUILDWOOD WAY,,MISSISSAUGA,L5R2A9,Second Unit,2015-12-16,59,-79.6612622,43.5895906
15-002354,5015,GUILDWOOD WAY,,MISSISSAUGA,L5R2R7,Second Unit,2015-08-28,60,-79.6668752,43.5948557
15-009647,5264,GUILDWOOD WAY,,MISSISSAUGA,L5R 3J5,Second Unit,2015-10-20,61,-79.6724878,43.600417
15-012546,949,HAMPSTEAD CRT,,MISSISSAUGA,L5C 3L1,Second Unit,2016-01-15,62,-79.6608236,43.5758066
15-002459,3063,HAROLD SHEARD DR,,MISSISSAUGA,L4T1V4,Second Unit,2016-02-12,63,-79.647579,43.7109041
15-006594,2980,HARVEY CRES,,MISSISSAUGA,L5L 4V7,Second Unit,2015-06-30,64,-79.6963377,43.5330216
14-011350,4480,HAYDOCK PARK DR,,MISSISSAUGA,L5M 3C4,Second Unit,2014-10-17,65,-79.6987048,43.5574015
14-009446,5252,HERITAGE HILLS BLVD,,MISSISSAUGA,L5R 3G9,Second Unit,2015-01-16,66,-79.6679276,43.6023784
15-001249,1521,HIGHBROOK AVE,,MISSISSAUGA,L5M 4V1,Second Unit,2015-01-19,67,-79.7076466,43.5937325
14-011669,3622,HOLDEN CRES,,MISSISSAUGA,L4W 4S5,Second Unit,2015-01-16,68,-79.6148538,43.6132006
15-002568,5278,HUNTINGFIELD DR,,MISSISSAUGA,L5R2K5,Second Unit,2015-12-17,69,-79.6625777,43.6101338
15-009364,3036,ILOMAR CT,,MISSISSAUGA,L5N5B5,Second Unit,2015-11-19,70,-79.7763461,43.5898379
14-012708,4150,INDEPENDENCE AVE,,MISSISSAUGA,L4Z 2T4,Second Unit,2014-11-25,71,-79.6309985,43.6033914
15-006904,3541,ITALIA CR,,MISSISSAUGA,L5B3T7,Second Unit,2015-05-13,72,-79.6440702,43.58
14-009447,3546,ITALIA CR,,MISSISSAUGA,L5B3T6,Second Unit,2014-09-19,73,-79.6447719,43.5797668
14-012459,1467,ITHACA CRT,,MISSISSAUGA,L5Y 4L1,Second Unit,2015-02-11,74,NA,NA
15-002901,1113,IVANDALE DR,,MISSISSAUGA,L5V 1A9,Second Unit,2016-02-18,75,-79.7054551,43.6063829
15-001884,4373,JENKINS CRES,,MISSISSAUGA,L5R 1V4,Second Unit,2015-11-04,76,-79.6496842,43.6001218
15-002170,7160,JUSTINE DR,,MISSISSAUGA,L4T 1M3,Second Unit,2015-11-20,77,-79.6358238,43.711461
14-012772,5729,KELDREW AVE,,MISSISSAUGA,L5M 7B9,Second Unit,2015-04-24,78,-79.7510281,43.5495737
15-009325,3104,KEYNES CR,,MISSISSAUGA,L5N3A1,Second Unit,2015-08-18,79,-79.7508528,43.5681432
14-006076,3412,LADDIE CRES,,MISSISSAUGA,L4T 1N1,Second Unit,2015-01-21,80,-79.6282787,43.7171432
14-011674,409,LAURENTIAN AVE,,MISSISSAUGA,L4Z 2J7,Second Unit,2014-11-05,81,-79.6359993,43.6110506
15-001776,3070,LINDENLEA DR,,MISSISSAUGA,L5C 2C2,Second Unit,2015-04-28,82,-79.650386,43.5559045
14-012880,4153,LINGFIELD CRES,,MISSISSAUGA,L4W 3M3,Second Unit,2014-12-18,83,-79.617574,43.6172356
15-002452,5987,LONG VALLEY RD,,MISSISSAUGA,L5M 6K3,Second Unit,2016-02-16,84,-79.7459461,43.5665108
14-012931,266,MANILA GATE,,MISSISSAUGA,L5B 3G1,Second Unit,2015-02-19,85,-79.6329287,43.5823258
14-013442,3433,MARMAC CR,,MISSISSAUGA,L5L4Z8,Second Unit,2014-12-12,86,-79.6966884,43.5256157
15-009280,6258,MCCRACKEN DR,,MISSISSAUGA,L5V1X9,Second Unit,2015-11-03,87,-79.7033511,43.6142118
15-009093,3064,MCNAUGHTON AVE,,MISSISSAUGA,L4T1R7,Second Unit,2015-11-24,88,-79.6457369,43.7078462
15-001875,4117,MELIA DR,,MISSISSAUGA,L5C 4J2,Second Unit,2015-08-14,89,-79.6724878,43.5683232
14-012797,862,MELTON DR,,MISSISSAUGA,L4Y 1K8,Second Unit,2015-05-20,90,-79.5865058,43.5907766
15-002368,1454,MONAGHAN CIR,,MISSISSAUGA,L5C1R8,Second Unit,2015-06-05,91,-79.6640687,43.5616111
14-005192,3548,MONICA DR,,MISSISSAUGA,L4T2E5,Second Unit,2014-04-16,92,-79.6433684,43.7262259
14-008027,3033,MORNING STAR DR,,MISSISSAUGA,L4T 1X1,Second Unit,2014-09-05,93,-79.6496842,43.7105034
15-003813,3056,MORNING STAR DR,,MISSISSAUGA,L4T1X2,Second Unit,2015-04-07,94,-79.6486316,43.7107038
15-001244,234,NAHANI WAY,,MISSISSAUGA,L4Z3J4,Second Unit,2015-02-04,95,-79.6501228,43.6140473
15-009365,6538,OPERA GLASS CRES,,MISSISSAUGA,,Second Unit,2016-01-07,96,NA,NA
15-009580,3188,PARKERHILL RD,,MISSISSAUGA,L5B1V8,Second Unit,2015-10-26,97,-79.6275768,43.5784936
15-002362,5687,PASSION FLOWER BLVD,,MISSISSAUGA,L5M 7E7,Second Unit,2015-12-08,98,-79.7431421,43.5549582
14-007813,7491,PICKFAIR DR,,MISSISSAUGA,L4T2N1,Second Unit,2015-01-26,99,-79.6500351,43.7176483
15-002002,2934,PICTON PL,,MISSISSAUGA,L5M 5S9,Second Unit,2016-02-01,100,-79.7382349,43.5658139
15-001431,5700,PRAIRIE CIR,,MISSISSAUGA,L5N6B6,Second Unit,2015-03-10,101,-79.7569859,43.5620069
15-009284,5214,PRESERVATION CIR,,MISSISSAUGA,,Second Unit,2016-02-09,102,NA,NA
14-009483,608,RAPHAEL AVE,,MISSISSAUGA,L5G1W8,Second Unit,2014-10-15,103,-79.5727235,43.5714602
14-013072,7314,REDFOX RD,,MISSISSAUGA,L4T2L8,Second Unit,2014-12-03,104,-79.6461755,43.7131471
14-013535,4055,RENFREW CR,,MISSISSAUGA,L5L4J3,Second Unit,2015-05-22,105,-79.7104517,43.5288725
14-007841,5594,RIVER GROVE AVE,,MISSISSAUGA,L5M3T8,Second Unit,2014-08-01,106,-79.7046661,43.5857362
15-011955,7508,ROCKHILL RD,,MISSISSAUGA,L4T 2Z7,Second Unit,2015-11-12,107,-79.6405612,43.7301176
14-012935,5003,ROSEBUSH RD,,MISSISSAUGA,L5M 5M4,Second Unit,2015-01-23,108,-79.6791524,43.5745771
14-012815,7613,ROSELLE CRES,,MISSISSAUGA,L4T 3J8,Second Unit,2015-08-17,109,-79.6535437,43.7215244
15-009175,1526,SAMUELSON CIR,,MISSISSAUGA,,Second Unit,2015-12-18,110,NA,NA
14-012759,1757,SANDGATE CR,,MISSISSAUGA,L5J2E7,Second Unit,2015-01-16,111,-79.6596834,43.5075205
14-013608,1468,SANDGATE CRES,,MISSISSAUGA,L5J 2E5,Second Unit,2015-02-02,112,-79.6535437,43.5115738
14-013625,368,SARDINIA DR,,MISSISSAUGA,L5R 3X6,Second Unit,2015-09-04,113,-79.661613,43.6012092
15-000483,7186,SHALLFORD RD,,MISSISSAUGA,L4T2P7,Second Unit,2015-02-04,114,-79.6440702,43.7141405
14-008836,1042,SHAW DR,,MISSISSAUGA,L5G 3Z4,Second Unit,2014-11-13,115,-79.5742159,43.5652818
15-001869,6003,SIDMOUTH ST,,MISSISSAUGA,L5V 2X2,Second Unit,2015-11-19,116,-79.7052797,43.5984945
14-008790,5568,SPANGLER DR,,MISSISSAUGA,L5R 3M5,Second Unit,2015-06-26,117,-79.6809061,43.608609
14-013665,5211,SPRINGBOK CR,,MISSISSAUGA,L4Z3J8,Second Unit,2015-04-07,118,-79.6545085,43.6120714
15-005946,1079,STRATHY AVE,,MISSISSAUGA,L5E 2J9,Second Unit,2015-11-18,119,-79.559905,43.5791962
15-009313,4278,SUGARBUSH RD,,MISSISSAUGA,L5B2X7,Second Unit,2015-12-10,120,-79.6582801,43.5853075
15-000693,2796,TALLBERG CRT,,MISSISSAUGA,L5J1T1,Second Unit,2015-02-03,121,-79.652842,43.502879
15-009936,3435,TESTIMONY SQ,,MISSISSAUGA,L5B3G5,Second Unit,2015-12-16,122,-79.6356484,43.5839857
14-012323,899,THISTLE DOWN CIR,,MISSISSAUGA,L5C 3K5,Second Unit,2014-12-08,123,-79.6591572,43.5769179
15-009179,4375,TRAILMASTER DR,,MISSISSAUGA,L5V1E4,Second Unit,2015-07-30,124,-79.667226,43.5847852
14-012929,4400,TRAILMASTER DR,,MISSISSAUGA,L5V 1E2,Second Unit,2015-04-24,125,-79.6677522,43.5811185
15-010021,3279,TWILIGHT RD,,MISSISSAUGA,L4T1Z8,Second Unit,2015-10-13,126,-79.6463509,43.7189421
15-002417,1149,VANROSE ST,,MISSISSAUGA,L5V1L2,Second Unit,2015-07-29,127,-79.6788016,43.5816782
15-011413,7155,VILLAGE  WALK,,MISSISSAUGA,L5M 1X2,Second Unit,2015-11-04,128,-79.7143086,43.580518
15-001757,639,WARHOL WAY,,MISSISSAUGA,,Second Unit,2015-06-15,129,NA,NA
14-007584,3277,WAXWING DR,,MISSISSAUGA,L5N 5Y6,Second Unit,2014-06-17,130,-79.7556717,43.5665713
14-013024,1337,WESSON CRT,,MISSISSAUGA,L5V 2E6,Second Unit,2014-11-26,131,-79.6940582,43.5897509
14-008369,2346,WHALEY DR,,MISSISSAUGA,L5B 2B5,Second Unit,2014-07-25,132,-79.6205574,43.5683413
16-001842,5555,WHISTLER CRES,,MISSISSAUGA,L4Z 3R5,Second Unit,2016-02-09,133,-79.6645949,43.6203404
15-002798,879,WILLOWBANK TRAIL,,MISSISSAUGA,L4W 3T6,Second Unit,2015-03-23,134,-79.6216104,43.6180503
16-001450,2817,WINDJAMMER RD,,MISSISSAUGA,L5L1T4,Second Unit,2016-01-28,135,-79.6861672,43.5294204
14-013773,596,WINTERTON WAY,,MISSISSAUGA,L5R3J3,Second Unit,2015-06-17,136,-79.672137,43.5988997
14-003292,3804,WOODRUFF CR,,MISSISSAUGA,L4T1T9,Second Unit,2014-09-10,137,-79.629507,43.7221449
15-003560,7607,WRENWOOD CR,,MISSISSAUGA,L4T2V8,Second Unit,2015-05-20,138,-79.6419648,43.7284681
14-013666,7643,WRENWOOD CR,,MISSISSAUGA,L4T2V8,Second Unit,2015-01-21,139,-79.6419648,43.7284681
14-012802,4764,YARMAROK CRT,,MISSISSAUGA,L5R 0A3,Second Unit,2015-11-25,140,-79.6575784,43.590592
,NA,,,,,,,141,NA,NA
